name,cluster,x,y,frame,second,positive,neutral,negative
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second1_frame49.jpg,5,6.553945,3.7372077,49,1,0.3487814664840698,0.4362010061740875,0.2150174230337143
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second20_frame505.jpg,5,4.1279135,0.5013021,505,20,0.3596431016921997,0.3697051405906677,0.27065184712409973
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second20_frame511.jpg,5,4.1118712,0.48498473,511,20,0.3963099420070648,0.20543941855430603,0.398250550031662
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second102_frame2574.jpg,2,-1.849675,-9.365598,2574,102,0.4268092215061188,0.49998992681503296,0.07320084422826767
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second106_frame2674.jpg,2,-1.5440412,-9.553693,2674,106,0.37830236554145813,0.5881633162498474,0.033534321933984756
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second10_frame274.jpg,5,5.9296603,4.029916,274,10,0.44157490134239197,0.5025391578674316,0.05588589608669281
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second113_frame2849.jpg,2,0.5196797,-9.883329,2849,113,0.15269209444522858,0.8337830901145935,0.013524796813726425
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second117_frame2949.jpg,2,0.05631648,-9.9103155,2949,117,0.10039331763982773,0.8891984820365906,0.010408222675323486
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second120_frame3024.jpg,4,17.782717,0.09597234,3024,120,0.11201386153697968,0.8612798452377319,0.02670629322528839
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second124_frame3124.jpg,4,18.346304,0.38210896,3124,124,0.08260101824998856,0.8916785717010498,0.025720378383994102
