,0,1
faceframe_second38_frame1161_0,0.1001887186455011,0.32454519324681474
faceframe_second38_frame1161_1,0.016640910618306786,0.8763748541068956
faceframe_second38_frame1169_0,0.09834548871287885,0.33767274460513835
faceframe_second39_frame1184_0,0.09971095117225344,0.32789130454678234
faceframe_second39_frame1191_0,0.10032878914598471,0.3255544584816744
faceframe_second3_frame111_0,0.08101183882512757,0.27231693187028505
faceframe_second3_frame119_0,0.08075299469520944,0.28090582695902444
faceframe_second41_frame1237_0,1.0,4.7812808017554e-310
faceframe_second41_frame1244_0,1.0,4.8101298781145e-310
faceframe_second41_frame1251_0,1.0,4.8308393328657e-310
faceframe_second41_frame1259_0,1.0,4.86189240137514e-310
faceframe_second42_frame1274_0,1.0,4.881255433771e-310
faceframe_second42_frame1281_0,1.0,4.86326945732855e-310
faceframe_second42_frame1289_0,1.0,4.8750708143257e-310
faceframe_second43_frame1297_0,1.0,4.9364837884582e-310
faceframe_second43_frame1304_0,1.0,4.8430951285975e-310
faceframe_second43_frame1311_0,1.0,4.89874103979734e-310
faceframe_second43_frame1319_0,1.0,4.930059381607e-310
faceframe_second44_frame1327_0,1.0,4.80539375519823e-310
faceframe_second44_frame1334_0,1.0,4.7375436910101e-310
faceframe_second44_frame1341_0,1.0,4.92034101865727e-310
faceframe_second44_frame1349_0,1.0,4.88253059705613e-310
faceframe_second45_frame1357_0,1.0,4.86435394833704e-310
faceframe_second45_frame1364_0,1.0,4.78339731206535e-310
faceframe_second45_frame1371_0,1.0,4.8250110287264e-310
faceframe_second45_frame1379_0,1.0,4.7657824058464e-310
faceframe_second46_frame1387_0,1.0,4.78681118820077e-310
faceframe_second46_frame1394_0,1.0,4.8503380003713e-310
faceframe_second46_frame1401_0,1.0,4.81952516008885e-310
faceframe_second46_frame1409_0,1.0,4.8092691475623e-310
faceframe_second47_frame1417_0,4.92142202451024e-310,1.0
faceframe_second47_frame1424_0,4.9401482024882e-310,1.0
faceframe_second48_frame1469_0,1.0,4.65847103219386e-310
faceframe_second49_frame1477_0,1.0,4.6769089870057e-310
faceframe_second49_frame1484_0,1.0,4.65649629592606e-310
faceframe_second49_frame1491_0,1.0,4.6625917901295e-310
faceframe_second49_frame1499_0,1.0,4.67467835026244e-310
faceframe_second6_frame194_0,0.03202922762261784,0.8462910450979437
faceframe_second6_frame201_0,0.028628398556633124,0.881378767258046
faceframe_second6_frame209_0,0.024545442907082164,0.9223034841692362
faceframe_second55_frame1679_0,4.80902611372985e-310,1.0
faceframe_second56_frame1687_0,4.82558350993236e-310,1.0
faceframe_second56_frame1694_0,4.82465600080475e-310,1.0
faceframe_second56_frame1701_0,4.81614399184923e-310,1.0
faceframe_second56_frame1709_0,4.8349295672479e-310,1.0
faceframe_second5_frame157_0,0.08094167757605576,0.2902396399317076
faceframe_second5_frame157_1,0.006010308818715318,0.9777229674908957
faceframe_second5_frame164_0,0.08187607386899332,0.2758299832149742
faceframe_second5_frame171_0,0.032779605386571764,0.9423166953680436
faceframe_second5_frame179_0,0.0352488352668005,0.8934805127728268
faceframe_second60_frame1814_0,0.03173859667322151,0.7176844293816323
faceframe_second60_frame1821_0,0.029922728433003407,0.7430813138463587
faceframe_second60_frame1829_0,0.027356865885400466,0.7743902215199645
faceframe_second61_frame1837_0,0.02444724408143263,0.8033150071276334
faceframe_second77_frame2339_0,0.06255956925563132,0.08189099633975572
faceframe_second78_frame2347_0,0.06280735355053355,0.08284666252519582
faceframe_second78_frame2354_0,0.06289360285350167,0.08276041322222769
faceframe_second78_frame2361_0,0.062407526068011004,0.08235791910937262
faceframe_second78_frame2369_0,0.06303342322481825,0.0826205928509111
faceframe_second79_frame2377_0,0.06291493027203188,0.08273908580369749
faceframe_second79_frame2384_0,0.06268093663700515,0.08297307943872423
faceframe_second79_frame2391_0,0.06285482778244018,0.08279918829328915
faceframe_second79_frame2399_0,0.062295050482785504,0.08210033926095832
faceframe_second7_frame217_0,0.02561162159555949,0.9153637715348379
faceframe_second7_frame224_0,0.09714896023426371,0.358689663721509
faceframe_second7_frame231_0,0.09763619895881444,0.34872576890880763
faceframe_second7_frame239_0,0.09761989533261647,0.34977581983142675
faceframe_second80_frame2414_0,0.062219651901742085,0.08162192853296045
faceframe_second80_frame2421_0,0.06227190235235248,0.08195388476983465
faceframe_second80_frame2429_0,0.06260864916686047,0.08202226685504288
faceframe_second81_frame2437_0,0.06251177140353242,0.0823850463166508
faceframe_second81_frame2451_0,0.03505151077341909,0.6244389234284619
faceframe_second82_frame2467_0,0.03474014409094859,0.6354989860285668
faceframe_second82_frame2474_0,0.03396583680108084,0.6401543984061883
faceframe_second82_frame2481_0,0.024418130551188983,0.7343134784485589
faceframe_second83_frame2497_0,0.03440327160440789,0.6404427163139512
faceframe_second83_frame2519_0,0.029692719385873496,0.6787008811605837
